Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_342,VDD,Metal1,195.1600,133.2800,5.000000
FILLER_32_308,VDD,Metal1,185.4755,132.5110,5.000000
FILLER_32_274,VDD,Metal1,166.4355,132.5110,5.000000
FILLER_32_240,VDD,Metal1,147.3955,132.5110,5.000000
FILLER_32_206,VDD,Metal1,128.3555,132.5110,5.000000
FILLER_32_172,VDD,Metal1,109.3155,132.5110,5.000000
FILLER_32_138,VDD,Metal1,90.2755,132.5110,5.000000
FILLER_32_104,VDD,Metal1,71.2355,132.5110,5.000000
FILLER_32_70,VDD,Metal1,52.1955,132.5110,5.000000
FILLER_32_36,VDD,Metal1,33.1555,132.5110,5.000000
FILLER_32_2,VDD,Metal1,14.1155,132.5110,5.000000
FILLER_31_341,VDD,Metal1,194.8800,125.4400,4.999993
FILLER_31_306,VDD,Metal1,175.0000,125.4400,4.999994
FILLER_31_298,VDD,Metal1,172.9865,126.0165,4.999994
FILLER_31_282,VDD,Metal1,166.3680,126.1320,4.999995
FILLER_31_276,VDD,Metal1,159.4200,125.8725,4.999995
FILLER_31_212,VDD,Metal1,140.7150,126.2540,4.999995
FILLER_31_206,VDD,Metal1,120.2200,125.8725,4.999995
FILLER_31_142,VDD,Metal1,101.5150,126.2540,4.999995
FILLER_31_136,VDD,Metal1,81.0200,125.8725,4.999996
FILLER_31_72,VDD,Metal1,62.3150,126.2540,4.999996
FILLER_31_66,VDD,Metal1,41.8200,125.8725,4.999996
FILLER_31_2,VDD,Metal1,23.1150,126.2540,4.999996
FILLER_30_341,VDD,Metal1,194.8800,125.4400,4.999993
FILLER_30_333,VDD,Metal1,192.5865,124.8630,4.999993
FILLER_30_317,VDD,Metal1,185.9680,124.7480,4.999993
FILLER_30_314,VDD,Metal1,179.4800,125.4400,4.999993
FILLER_30_312,VDD,Metal1,178.6400,125.4400,4.999993
FILLER_30_304,VDD,Metal1,176.3465,124.8630,4.999993
FILLER_30_299,VDD,Metal1,171.0800,125.4400,4.999995
FILLER_30_295,VDD,Metal1,170.0600,125.0075,4.999995
FILLER_30_279,VDD,Metal1,164.6880,124.7480,4.999995
FILLER_30_247,VDD,Metal1,151.3155,124.6710,4.999995
FILLER_30_241,VDD,Metal1,139.8200,125.0075,4.999995
FILLER_30_177,VDD,Metal1,121.1150,124.6255,4.999995
FILLER_30_171,VDD,Metal1,100.6200,125.0075,4.999996
FILLER_30_107,VDD,Metal1,81.9150,124.6255,4.999996
FILLER_30_101,VDD,Metal1,61.4200,125.0075,4.999996
FILLER_30_37,VDD,Metal1,42.7150,124.6255,4.999996
FILLER_30_34,VDD,Metal1,22.6800,125.4400,4.999996
FILLER_30_2,VDD,Metal1,14.1155,124.6710,4.999996
FILLER_29_342,VDD,Metal1,195.1600,117.6000,4.999968
FILLER_29_340,VDD,Metal1,194.3200,117.6000,4.999968
FILLER_29_336,VDD,Metal1,193.0200,118.0325,4.999968
FILLER_29_328,VDD,Metal1,189.7865,118.1765,4.999968
FILLER_29_282,VDD,Metal1,164.0265,118.1765,4.999968
FILLER_29_278,VDD,Metal1,159.6000,117.6000,4.999969
FILLER_29_274,VDD,Metal1,158.3000,118.0325,4.999969
FILLER_29_266,VDD,Metal1,155.0665,118.1765,4.999969
FILLER_29_250,VDD,Metal1,148.4480,118.2920,4.999969
FILLER_29_234,VDD,Metal1,134.6800,117.6000,4.999970
FILLER_29_232,VDD,Metal1,133.8400,117.6000,4.999970
FILLER_29_228,VDD,Metal1,132.5400,118.0325,4.999970
FILLER_29_212,VDD,Metal1,127.1680,118.2920,4.999970
FILLER_29_209,VDD,Metal1,120.6800,117.6000,4.999970
FILLER_29_201,VDD,Metal1,118.6665,118.1765,4.999970
FILLER_29_185,VDD,Metal1,112.0480,118.2920,4.999970
FILLER_29_150,VDD,Metal1,87.6400,117.6000,4.999971
FILLER_29_142,VDD,Metal1,85.6265,118.1765,4.999971
FILLER_29_136,VDD,Metal1,81.0200,118.0325,4.999972
FILLER_29_72,VDD,Metal1,62.3150,118.4140,4.999972
FILLER_29_68,VDD,Metal1,42.0000,117.6000,4.999972
FILLER_29_36,VDD,Metal1,33.1555,118.3685,4.999972
FILLER_28_341,VDD,Metal1,194.8800,117.6000,4.999968
FILLER_28_333,VDD,Metal1,192.5865,117.0230,4.999968
FILLER_28_321,VDD,Metal1,184.6200,117.1675,4.999968
FILLER_28_279,VDD,Metal1,160.1600,117.6000,4.999969
FILLER_28_263,VDD,Metal1,155.7280,116.9080,4.999969
FILLER_28_247,VDD,Metal1,141.9600,117.6000,4.999970
FILLER_28_244,VDD,Metal1,140.2800,117.6000,4.999970
FILLER_28_236,VDD,Metal1,138.2665,117.0230,4.999970
FILLER_28_199,VDD,Metal1,115.0800,117.6000,4.999970
FILLER_28_183,VDD,Metal1,106.1200,117.6000,4.999971
FILLER_28_181,VDD,Metal1,105.2800,117.6000,4.999971
FILLER_28_177,VDD,Metal1,103.9800,117.1675,4.999971
FILLER_28_159,VDD,Metal1,92.6800,117.6000,4.999971
FILLER_28_155,VDD,Metal1,91.6600,117.1675,4.999971
FILLER_28_139,VDD,Metal1,86.2880,116.9080,4.999971
FILLER_28_107,VDD,Metal1,72.9155,116.8310,4.999972
FILLER_28_103,VDD,Metal1,61.6000,117.6000,4.999972
FILLER_28_99,VDD,Metal1,60.3000,117.1675,4.999972
FILLER_28_83,VDD,Metal1,54.9280,116.9080,4.999972
FILLER_28_45,VDD,Metal1,30.0600,117.1675,4.999972
FILLER_28_37,VDD,Metal1,26.8265,117.0230,4.999972
FILLER_28_34,VDD,Metal1,22.6800,117.6000,4.999972
FILLER_28_2,VDD,Metal1,14.1155,116.8310,4.999971
FILLER_27_308,VDD,Metal1,176.1200,109.7600,4.999949
FILLER_27_304,VDD,Metal1,175.1000,110.1925,4.999949
FILLER_27_296,VDD,Metal1,171.8665,110.3365,4.999949
FILLER_27_282,VDD,Metal1,161.5600,109.7600,4.999950
FILLER_27_279,VDD,Metal1,159.8800,109.7600,4.999950
FILLER_27_277,VDD,Metal1,159.0400,109.7600,4.999950
FILLER_27_273,VDD,Metal1,157.7400,110.1925,4.999950
FILLER_27_265,VDD,Metal1,154.5065,110.3365,4.999950
FILLER_27_227,VDD,Metal1,131.0400,109.7600,4.999951
FILLER_27_175,VDD,Metal1,101.6400,109.7600,4.999955
FILLER_27_173,VDD,Metal1,100.8000,109.7600,4.999955
FILLER_27_169,VDD,Metal1,99.5000,110.1925,4.999955
FILLER_27_150,VDD,Metal1,88.8600,110.1925,4.999960
FILLER_27_142,VDD,Metal1,85.6265,110.3365,4.999960
FILLER_27_136,VDD,Metal1,81.0200,110.1925,4.999960
FILLER_27_101,VDD,Metal1,60.2000,109.7600,4.999962
FILLER_27_97,VDD,Metal1,59.1800,110.1925,4.999962
FILLER_27_89,VDD,Metal1,55.9465,110.3365,4.999962
FILLER_27_74,VDD,Metal1,45.0800,109.7600,4.999962
FILLER_27_72,VDD,Metal1,44.2400,109.7600,4.999963
FILLER_27_69,VDD,Metal1,42.2800,109.7600,4.999964
FILLER_27_67,VDD,Metal1,41.4400,109.7600,4.999964
FILLER_27_59,VDD,Metal1,39.1465,110.3365,4.999964
FILLER_27_24,VDD,Metal1,17.0800,109.7600,4.999965
FILLER_27_20,VDD,Metal1,16.0600,110.1925,4.999965
FILLER_27_10,VDD,Metal1,10.4600,110.1925,4.999965
FILLER_27_2,VDD,Metal1,7.2265,110.3365,4.999965
FILLER_26_341,VDD,Metal1,194.8800,109.7600,4.999949
FILLER_26_333,VDD,Metal1,192.5865,109.1830,4.999949
FILLER_26_241,VDD,Metal1,139.8200,109.3275,4.999951
FILLER_26_177,VDD,Metal1,121.1150,108.9455,4.999951
FILLER_26_167,VDD,Metal1,99.6265,109.1830,4.999955
FILLER_26_129,VDD,Metal1,76.1600,109.7600,4.999960
FILLER_26_121,VDD,Metal1,73.8665,109.1830,4.999960
FILLER_26_69,VDD,Metal1,42.5600,109.7600,4.999964
FILLER_26_51,VDD,Metal1,32.4800,109.7600,4.999965
FILLER_26_47,VDD,Metal1,31.1800,109.3275,4.999965
FILLER_26_26,VDD,Metal1,18.2000,109.7600,4.999965
FILLER_26_18,VDD,Metal1,16.1865,109.1830,4.999965
FILLER_26_2,VDD,Metal1,9.5680,109.0680,4.999965
FILLER_25_336,VDD,Metal1,191.8000,101.9200,4.999885
FILLER_25_332,VDD,Metal1,190.7800,102.3525,4.999885
FILLER_25_272,VDD,Metal1,156.2400,101.9200,4.999886
FILLER_25_264,VDD,Metal1,153.9465,102.4965,4.999886
FILLER_25_248,VDD,Metal1,147.3280,102.6120,4.999890
FILLER_25_202,VDD,Metal1,119.2265,102.4965,4.999902
FILLER_25_179,VDD,Metal1,106.3465,102.4965,4.999902
FILLER_25_142,VDD,Metal1,83.1600,101.9200,4.999943
FILLER_25_139,VDD,Metal1,81.4800,101.9200,4.999943
FILLER_25_135,VDD,Metal1,80.4600,102.3525,4.999943
FILLER_25_111,VDD,Metal1,65.8000,101.9200,4.999945
FILLER_25_102,VDD,Metal1,60.7600,101.9200,4.999953
FILLER_25_100,VDD,Metal1,59.9200,101.9200,4.999953
FILLER_25_96,VDD,Metal1,58.6200,102.3525,4.999954
FILLER_25_88,VDD,Metal1,55.3865,102.4965,4.999954
FILLER_25_72,VDD,Metal1,46.4265,102.4965,4.999954
FILLER_25_69,VDD,Metal1,42.2800,101.9200,4.999955
FILLER_25_65,VDD,Metal1,41.2600,102.3525,4.999955
FILLER_25_58,VDD,Metal1,36.1200,101.9200,4.999957
FILLER_25_56,VDD,Metal1,35.2800,101.9200,4.999957
FILLER_25_52,VDD,Metal1,33.9800,102.3525,4.999957
FILLER_25_44,VDD,Metal1,30.7465,102.4965,4.999957
FILLER_24_341,VDD,Metal1,194.8800,101.9200,4.999885
FILLER_24_247,VDD,Metal1,146.7680,101.2280,4.999890
FILLER_24_173,VDD,Metal1,100.8000,101.9200,4.999943
FILLER_24_169,VDD,Metal1,99.5000,101.4875,4.999943
FILLER_24_161,VDD,Metal1,96.2665,101.3430,4.999946
FILLER_24_126,VDD,Metal1,74.2000,101.9200,4.999944
FILLER_24_99,VDD,Metal1,59.0800,101.9200,4.999954
FILLER_24_97,VDD,Metal1,58.2400,101.9200,4.999954
FILLER_24_93,VDD,Metal1,56.9400,101.4875,4.999954
FILLER_24_84,VDD,Metal1,50.6800,101.9200,4.999954
FILLER_24_82,VDD,Metal1,49.8400,101.9200,4.999954
FILLER_24_68,VDD,Metal1,42.9400,101.4875,4.999955
FILLER_24_60,VDD,Metal1,39.7065,101.3430,4.999955
FILLER_24_44,VDD,Metal1,33.0880,101.2280,4.999957
FILLER_24_39,VDD,Metal1,25.4800,101.9200,4.999958
FILLER_24_37,VDD,Metal1,24.6400,101.9200,4.999958
FILLER_24_34,VDD,Metal1,22.6800,101.9200,4.999958
FILLER_24_32,VDD,Metal1,21.8400,101.9200,4.999958
FILLER_24_2,VDD,Metal1,7.2265,101.3430,4.999958
FILLER_23_274,VDD,Metal1,157.0800,94.0800,4.999954
FILLER_23_258,VDD,Metal1,152.9280,94.7720,4.999954
FILLER_23_220,VDD,Metal1,128.0600,94.5125,4.999955
FILLER_23_212,VDD,Metal1,124.8265,94.6565,4.999955
FILLER_23_172,VDD,Metal1,101.1800,94.5125,4.999958
FILLER_23_156,VDD,Metal1,91.0000,94.0800,4.999960
FILLER_23_154,VDD,Metal1,90.1600,94.0800,4.999962
FILLER_23_150,VDD,Metal1,88.8600,94.5125,4.999962
FILLER_23_142,VDD,Metal1,83.4400,94.0800,4.999965
FILLER_23_139,VDD,Metal1,81.4800,94.0800,4.999966
FILLER_23_137,VDD,Metal1,80.6400,94.0800,4.999966
FILLER_23_133,VDD,Metal1,79.3400,94.5125,4.999966
FILLER_23_90,VDD,Metal1,54.0400,94.0800,4.999971
FILLER_23_86,VDD,Metal1,53.0200,94.5125,4.999971
FILLER_23_76,VDD,Metal1,46.4800,94.0800,4.999971
FILLER_23_72,VDD,Metal1,45.1800,94.5125,4.999971
FILLER_23_69,VDD,Metal1,42.2800,94.0800,4.999974
FILLER_23_67,VDD,Metal1,41.4400,94.0800,4.999974
FILLER_23_54,VDD,Metal1,34.1600,94.0800,4.999976
FILLER_23_48,VDD,Metal1,30.8000,94.0800,4.999976
FILLER_23_44,VDD,Metal1,29.5000,94.5125,4.999976
FILLER_23_22,VDD,Metal1,15.9600,94.0800,4.999978
FILLER_23_18,VDD,Metal1,14.9400,94.5125,4.999978
FILLER_23_2,VDD,Metal1,9.5680,94.7720,4.999978
FILLER_22_342,VDD,Metal1,195.1600,94.0800,4.999855
FILLER_22_340,VDD,Metal1,194.3200,94.0800,4.999855
FILLER_22_289,VDD,Metal1,166.7000,93.6475,4.999898
FILLER_22_279,VDD,Metal1,161.1000,93.6475,4.999952
FILLER_22_247,VDD,Metal1,151.3155,93.3110,4.999954
FILLER_22_244,VDD,Metal1,140.2800,94.0800,4.999955
FILLER_22_242,VDD,Metal1,139.4400,94.0800,4.999955
FILLER_22_230,VDD,Metal1,133.6600,93.6475,4.999955
FILLER_22_198,VDD,Metal1,123.8755,93.3110,4.999955
FILLER_22_182,VDD,Metal1,105.5600,94.0800,4.999955
FILLER_22_151,VDD,Metal1,88.4800,94.0800,4.999962
FILLER_22_141,VDD,Metal1,82.8800,94.0800,4.999965
FILLER_22_137,VDD,Metal1,81.5800,93.6475,4.999966
FILLER_22_121,VDD,Metal1,76.2080,93.3880,4.999966
FILLER_22_111,VDD,Metal1,65.8000,94.0800,4.999968
FILLER_22_107,VDD,Metal1,64.7800,93.6475,4.999968
FILLER_22_104,VDD,Metal1,61.8800,94.0800,4.999968
FILLER_22_102,VDD,Metal1,61.0400,94.0800,4.999968
FILLER_22_94,VDD,Metal1,58.7465,93.5030,4.999968
FILLER_22_78,VDD,Metal1,52.1280,93.3880,4.999971
FILLER_21_292,VDD,Metal1,167.1600,86.2400,4.999911
FILLER_21_290,VDD,Metal1,166.3200,86.2400,4.999911
FILLER_21_282,VDD,Metal1,164.0265,86.8165,4.999911
FILLER_21_272,VDD,Metal1,158.4265,86.8165,4.999911
FILLER_21_256,VDD,Metal1,151.8080,86.9320,4.999918
FILLER_21_240,VDD,Metal1,138.0400,86.2400,4.999922
FILLER_21_231,VDD,Metal1,133.0000,86.2400,4.999932
FILLER_21_229,VDD,Metal1,132.1600,86.2400,4.999932
FILLER_21_221,VDD,Metal1,129.8665,86.8165,4.999932
FILLER_21_212,VDD,Metal1,122.3600,86.2400,4.999932
FILLER_21_208,VDD,Metal1,120.4000,86.2400,4.999933
FILLER_21_192,VDD,Metal1,115.9680,86.9320,4.999933
FILLER_21_156,VDD,Metal1,91.2800,86.2400,4.999935
FILLER_21_152,VDD,Metal1,89.9800,86.6725,4.999935
FILLER_21_138,VDD,Metal1,81.2000,86.2400,4.999959
FILLER_21_130,VDD,Metal1,78.9065,86.8165,4.999959
FILLER_21_101,VDD,Metal1,62.6665,86.8165,4.999960
FILLER_21_61,VDD,Metal1,37.8000,86.2400,4.999961
FILLER_21_59,VDD,Metal1,36.9600,86.2400,4.999961
FILLER_21_51,VDD,Metal1,34.6665,86.8165,4.999961
FILLER_21_42,VDD,Metal1,27.1600,86.2400,4.999962
FILLER_21_38,VDD,Metal1,26.1400,86.6725,4.999962
FILLER_21_30,VDD,Metal1,22.9065,86.8165,4.999962
FILLER_21_24,VDD,Metal1,17.3600,86.2400,4.999964
FILLER_21_14,VDD,Metal1,11.7600,86.2400,4.999964
FILLER_20_325,VDD,Metal1,186.8600,85.8075,4.999911
FILLER_20_314,VDD,Metal1,179.4800,86.2400,4.999911
FILLER_20_271,VDD,Metal1,155.4000,86.2400,4.999918
FILLER_20_269,VDD,Metal1,154.5600,86.2400,4.999918
FILLER_20_265,VDD,Metal1,153.2600,85.8075,4.999918
FILLER_20_249,VDD,Metal1,143.0800,86.2400,4.999921
FILLER_20_247,VDD,Metal1,142.2400,86.2400,4.999921
FILLER_20_237,VDD,Metal1,138.8265,85.6630,4.999922
FILLER_20_197,VDD,Metal1,113.9600,86.2400,4.999933
FILLER_20_195,VDD,Metal1,113.1200,86.2400,4.999933
FILLER_20_191,VDD,Metal1,111.8200,85.8075,4.999934
FILLER_20_174,VDD,Metal1,101.0800,86.2400,4.999935
FILLER_20_107,VDD,Metal1,64.7800,85.8075,4.999960
FILLER_20_45,VDD,Metal1,30.0600,85.8075,4.999962
FILLER_20_37,VDD,Metal1,26.8265,85.6630,4.999962
FILLER_20_12,VDD,Metal1,10.3600,86.2400,4.999963
FILLER_20_8,VDD,Metal1,9.3400,85.8075,4.999963
FILLER_19_341,VDD,Metal1,194.8800,78.4000,4.999964
FILLER_19_337,VDD,Metal1,193.5800,78.8325,4.999964
FILLER_19_302,VDD,Metal1,172.7600,78.4000,4.999964
FILLER_19_298,VDD,Metal1,171.7400,78.8325,4.999963
FILLER_19_282,VDD,Metal1,166.3680,79.0920,4.999963
FILLER_19_228,VDD,Metal1,131.6000,78.4000,4.999964
FILLER_19_224,VDD,Metal1,130.3000,78.8325,4.999964
FILLER_19_209,VDD,Metal1,120.6800,78.4000,4.999966
FILLER_19_205,VDD,Metal1,119.6600,78.8325,4.999966
FILLER_19_197,VDD,Metal1,116.4265,78.9765,4.999966
FILLER_19_191,VDD,Metal1,110.8800,78.4000,4.999966
FILLER_19_187,VDD,Metal1,109.5800,78.8325,4.999966
FILLER_19_171,VDD,Metal1,104.2080,79.0920,4.999971
FILLER_19_166,VDD,Metal1,96.6000,78.4000,4.999972
FILLER_19_164,VDD,Metal1,95.7600,78.4000,4.999972
FILLER_19_156,VDD,Metal1,93.4665,78.9765,4.999972
FILLER_19_138,VDD,Metal1,81.2000,78.4000,4.999972
FILLER_19_130,VDD,Metal1,78.9065,78.9765,4.999972
FILLER_19_121,VDD,Metal1,72.6200,78.8325,4.999972
FILLER_19_88,VDD,Metal1,53.2000,78.4000,4.999973
FILLER_19_72,VDD,Metal1,48.7680,79.0920,4.999973
FILLER_19_68,VDD,Metal1,42.0000,78.4000,4.999973
FILLER_19_52,VDD,Metal1,32.7600,78.4000,4.999974
FILLER_19_40,VDD,Metal1,27.2600,78.8325,4.999974
FILLER_19_32,VDD,Metal1,24.0265,78.9765,4.999974
FILLER_19_2,VDD,Metal1,4.7600,78.4000,4.999974
FILLER_18_342,VDD,Metal1,195.1600,78.4000,4.999964
FILLER_18_338,VDD,Metal1,194.1400,77.9675,4.999964
FILLER_18_322,VDD,Metal1,188.7680,77.7080,4.999964
FILLER_18_311,VDD,Metal1,179.0200,77.9675,4.999964
FILLER_18_301,VDD,Metal1,172.4800,78.4000,4.999964
FILLER_18_297,VDD,Metal1,171.1800,77.9675,4.999963
FILLER_18_281,VDD,Metal1,165.8080,77.7080,4.999963
FILLER_18_243,VDD,Metal1,140.0000,78.4000,4.999963
FILLER_18_239,VDD,Metal1,138.7000,77.9675,4.999963
FILLER_18_231,VDD,Metal1,135.4665,77.8230,4.999963
FILLER_18_213,VDD,Metal1,125.3865,77.8230,4.999964
FILLER_18_183,VDD,Metal1,106.1200,78.4000,4.999971
FILLER_18_181,VDD,Metal1,105.2800,78.4000,4.999971
FILLER_18_177,VDD,Metal1,103.9800,77.9675,4.999971
FILLER_18_144,VDD,Metal1,84.5600,78.4000,4.999972
FILLER_18_112,VDD,Metal1,75.7155,77.6310,4.999972
FILLER_18_103,VDD,Metal1,61.6000,78.4000,4.999972
FILLER_18_99,VDD,Metal1,60.3000,77.9675,4.999973
FILLER_18_90,VDD,Metal1,55.2600,77.9675,4.999972
FILLER_18_74,VDD,Metal1,49.8880,77.7080,4.999973
FILLER_18_65,VDD,Metal1,40.0400,78.4000,4.999973
FILLER_18_53,VDD,Metal1,34.5400,77.9675,4.999973
FILLER_18_37,VDD,Metal1,29.1680,77.7080,4.999974
FILLER_18_34,VDD,Metal1,22.6800,78.4000,4.999975
FILLER_18_30,VDD,Metal1,21.6600,77.9675,4.999975
FILLER_18_10,VDD,Metal1,9.5200,78.4000,4.999974
FILLER_17_308,VDD,Metal1,176.1200,70.5600,4.999980
FILLER_17_306,VDD,Metal1,175.2800,70.5600,4.999980
FILLER_17_298,VDD,Metal1,172.9865,71.1365,4.999980
FILLER_17_282,VDD,Metal1,166.3680,71.2520,4.999980
FILLER_17_278,VDD,Metal1,159.6000,70.5600,4.999981
FILLER_17_274,VDD,Metal1,158.3000,70.9925,4.999981
FILLER_17_233,VDD,Metal1,134.4000,70.5600,4.999982
FILLER_17_229,VDD,Metal1,133.1000,70.9925,4.999982
FILLER_17_221,VDD,Metal1,129.8665,71.1365,4.999982
FILLER_17_204,VDD,Metal1,118.1600,70.5600,4.999982
FILLER_17_200,VDD,Metal1,116.8600,70.9925,4.999982
FILLER_17_190,VDD,Metal1,110.0400,70.5600,4.999982
FILLER_17_188,VDD,Metal1,109.2000,70.5600,4.999982
FILLER_17_180,VDD,Metal1,106.9065,71.1365,4.999982
FILLER_17_138,VDD,Metal1,81.2000,70.5600,4.999982
FILLER_17_134,VDD,Metal1,79.9000,70.9925,4.999982
FILLER_17_118,VDD,Metal1,74.5280,71.2520,4.999982
FILLER_17_100,VDD,Metal1,59.6400,70.5600,4.999985
FILLER_17_98,VDD,Metal1,58.8000,70.5600,4.999985
FILLER_17_72,VDD,Metal1,45.1800,70.9925,4.999983
FILLER_17_69,VDD,Metal1,42.2800,70.5600,4.999983
FILLER_17_38,VDD,Metal1,25.2000,70.5600,4.999983
FILLER_17_2,VDD,Metal1,5.0400,70.5600,4.999986
FILLER_16_341,VDD,Metal1,194.8800,70.5600,4.999980
FILLER_16_325,VDD,Metal1,190.4480,69.8680,4.999980
FILLER_16_313,VDD,Metal1,179.2000,70.5600,4.999980
FILLER_16_282,VDD,Metal1,161.8400,70.5600,4.999981
FILLER_16_252,VDD,Metal1,144.7600,70.5600,4.999981
